"","GW","id","home","away","finished","kickoff"
"1",1,6,"MUN","LEI",TRUE,"2018-08-10T19:00:00Z"
"2",1,7,"NEW","TOT",TRUE,"2018-08-11T11:30:00Z"
"3",1,2,"BOU","CAR",TRUE,"2018-08-11T14:00:00Z"
"4",1,3,"FUL","CRY",TRUE,"2018-08-11T14:00:00Z"
"5",1,4,"HUD","CHE",TRUE,"2018-08-11T14:00:00Z"
"6",1,9,"WAT","BHA",TRUE,"2018-08-11T14:00:00Z"
"7",1,10,"WOL","EVE",TRUE,"2018-08-11T16:30:00Z"
"8",1,5,"LIV","WHU",TRUE,"2018-08-12T12:30:00Z"
"9",1,8,"SOU","BUR",TRUE,"2018-08-12T12:30:00Z"
"10",1,1,"ARS","MCI",TRUE,"2018-08-12T15:00:00Z"
"11",2,13,"CAR","NEW",TRUE,"2018-08-18T11:30:00Z"
"12",2,16,"EVE","SOU",TRUE,"2018-08-18T14:00:00Z"
"13",2,17,"LEI","WOL",TRUE,"2018-08-18T14:00:00Z"
"14",2,19,"TOT","FUL",TRUE,"2018-08-18T14:00:00Z"
"15",2,20,"WHU","BOU",TRUE,"2018-08-18T14:00:00Z"
"16",2,14,"CHE","ARS",TRUE,"2018-08-18T16:30:00Z"
"17",2,12,"BUR","WAT",TRUE,"2018-08-19T12:30:00Z"
"18",2,18,"MCI","HUD",TRUE,"2018-08-19T12:30:00Z"
"19",2,11,"BHA","MUN",TRUE,"2018-08-19T15:00:00Z"
"20",2,15,"CRY","LIV",TRUE,"2018-08-20T19:00:00Z"
"21",3,30,"WOL","MCI",TRUE,"2018-08-25T11:30:00Z"
"22",3,21,"ARS","WHU",TRUE,"2018-08-25T14:00:00Z"
"23",3,22,"BOU","EVE",TRUE,"2018-08-25T14:00:00Z"
"24",3,24,"HUD","CAR",TRUE,"2018-08-25T14:00:00Z"
"25",3,28,"SOU","LEI",TRUE,"2018-08-25T14:00:00Z"
"26",3,25,"LIV","BHA",TRUE,"2018-08-25T16:30:00Z"
"27",3,29,"WAT","CRY",TRUE,"2018-08-26T12:30:00Z"
"28",3,23,"FUL","BUR",TRUE,"2018-08-26T15:00:00Z"
"29",3,27,"NEW","CHE",TRUE,"2018-08-26T15:00:00Z"
"30",3,26,"MUN","TOT",TRUE,"2018-08-27T19:00:00Z"
"31",4,37,"LEI","LIV",TRUE,"2018-09-01T11:30:00Z"
"32",4,31,"BHA","FUL",TRUE,"2018-09-01T14:00:00Z"
"33",4,34,"CHE","BOU",TRUE,"2018-09-01T14:00:00Z"
"34",4,35,"CRY","SOU",TRUE,"2018-09-01T14:00:00Z"
"35",4,36,"EVE","HUD",TRUE,"2018-09-01T14:00:00Z"
"36",4,40,"WHU","WOL",TRUE,"2018-09-01T14:00:00Z"
"37",4,38,"MCI","NEW",TRUE,"2018-09-01T16:30:00Z"
"38",4,33,"CAR","ARS",TRUE,"2018-09-02T12:30:00Z"
