"","GW","id","home","team_h","away","team_a","finished","kickoff","team_h_score","team_a_score"
"1",1,1,"LIV",10,"NOR",14,TRUE,"2019-08-09T19:00:00Z",4,1
"2",1,8,"WHU",19,"MCI",11,TRUE,"2019-08-10T11:30:00Z",0,5
"3",1,2,"BOU",3,"SHU",15,TRUE,"2019-08-10T14:00:00Z",1,1
"4",1,3,"BUR",5,"SOU",16,TRUE,"2019-08-10T14:00:00Z",3,0
"5",1,4,"CRY",7,"EVE",8,TRUE,"2019-08-10T14:00:00Z",0,0
"6",1,7,"WAT",18,"BHA",4,TRUE,"2019-08-10T14:00:00Z",0,3
"7",1,6,"TOT",17,"AVL",2,TRUE,"2019-08-10T16:30:00Z",3,1
"8",1,5,"LEI",9,"WOL",20,TRUE,"2019-08-11T13:00:00Z",0,0
"9",1,10,"NEW",13,"ARS",1,TRUE,"2019-08-11T13:00:00Z",0,1
"10",1,9,"MUN",12,"CHE",6,TRUE,"2019-08-11T15:30:00Z",4,0
"11",2,11,"ARS",1,"BUR",5,TRUE,"2019-08-17T11:30:00Z",2,1
"12",2,12,"AVL",2,"BOU",3,TRUE,"2019-08-17T14:00:00Z",1,2
"13",2,13,"BHA",4,"WHU",19,TRUE,"2019-08-17T14:00:00Z",1,1
"14",2,15,"EVE",8,"WAT",18,TRUE,"2019-08-17T14:00:00Z",1,0
"15",2,17,"NOR",14,"NEW",13,TRUE,"2019-08-17T14:00:00Z",3,1
"16",2,19,"SOU",16,"LIV",10,TRUE,"2019-08-17T14:00:00Z",1,2
"17",2,16,"MCI",11,"TOT",17,TRUE,"2019-08-17T16:30:00Z",2,2
"18",2,18,"SHU",15,"CRY",7,TRUE,"2019-08-18T13:00:00Z",1,0
"19",2,14,"CHE",6,"LEI",9,TRUE,"2019-08-18T15:30:00Z",1,1
"20",2,20,"WOL",20,"MUN",12,TRUE,"2019-08-19T19:00:00Z",1,1
"21",3,21,"AVL",2,"EVE",8,TRUE,"2019-08-23T19:00:00Z",2,0
"22",3,26,"NOR",14,"CHE",6,TRUE,"2019-08-24T11:30:00Z",2,3
"23",3,23,"BHA",4,"SOU",16,TRUE,"2019-08-24T14:00:00Z",0,2
"24",3,25,"MUN",12,"CRY",7,TRUE,"2019-08-24T14:00:00Z",1,2
"25",3,27,"SHU",15,"LEI",9,TRUE,"2019-08-24T14:00:00Z",1,2
"26",3,29,"WAT",18,"WHU",19,TRUE,"2019-08-24T14:00:00Z",1,3
"27",3,24,"LIV",10,"ARS",1,TRUE,"2019-08-24T16:30:00Z",3,1
"28",3,22,"BOU",3,"MCI",11,TRUE,"2019-08-25T13:00:00Z",1,3
"29",3,28,"TOT",17,"NEW",13,TRUE,"2019-08-25T15:30:00Z",0,1
