"","id","name","deadline_time","average_entry_score","finished","data_checked","highest_scoring_entry","deadline_time_epoch","deadline_time_game_offset","deadline_time_formatted","highest_score","is_previous","is_current","is_next"
"1",1,"Gameweek 1","2018-08-10T18:00:00Z",53,TRUE,TRUE,890626,1533924000,3600,"10 Aug 19:00",137,FALSE,FALSE,FALSE
"2",2,"Gameweek 2","2018-08-18T10:30:00Z",60,TRUE,TRUE,639556,1534588200,3600,"18 Aug 11:30",153,FALSE,FALSE,FALSE
"3",3,"Gameweek 3","2018-08-25T10:30:00Z",50,TRUE,TRUE,5259490,1535193000,3600,"25 Aug 11:30",122,FALSE,FALSE,FALSE
"4",4,"Gameweek 4","2018-09-01T10:30:00Z",44,TRUE,TRUE,2344578,1535797800,3600,"01 Sep 11:30",104,FALSE,FALSE,FALSE
"5",5,"Gameweek 5","2018-09-15T10:30:00Z",47,TRUE,TRUE,923926,1537007400,3600,"15 Sep 11:30",138,FALSE,FALSE,FALSE
"6",6,"Gameweek 6","2018-09-22T10:30:00Z",52,TRUE,TRUE,1452573,1537612200,3600,"22 Sep 11:30",118,FALSE,FALSE,FALSE
"7",7,"Gameweek 7","2018-09-29T10:30:00Z",51,TRUE,TRUE,3907005,1538217000,3600,"29 Sep 11:30",127,FALSE,FALSE,FALSE
"8",8,"Gameweek 8","2018-10-05T18:00:00Z",50,TRUE,TRUE,373417,1538762400,3600,"05 Oct 19:00",131,FALSE,FALSE,FALSE
"9",9,"Gameweek 9","2018-10-20T10:30:00Z",43,TRUE,TRUE,4942791,1540031400,3600,"20 Oct 11:30",113,FALSE,FALSE,FALSE
"10",10,"Gameweek 10","2018-10-27T13:00:00Z",58,TRUE,TRUE,5764529,1540645200,3600,"27 Oct 14:00",145,FALSE,FALSE,FALSE
"11",11,"Gameweek 11","2018-11-03T11:30:00Z",52,TRUE,TRUE,5823775,1541244600,0,"03 Nov 11:30",147,FALSE,FALSE,FALSE
